     216     750       0       0       1.000E+03
       4       7       8      40      40       7       8      43
      40      43       8      44       3       5       4      39
      39       5       4      41      39      41       4      40
       2       4       6      38      38       4       6      40
      38      40       6      42       6       8       9      42
      42       8       9      44      42      44       9      45
      13      18      16      49      49      18      16      54
      49      54      16      52      14      21      18      50
      50      21      18      57      50      57      18      54
      12      17      19      48      48      17      19      53
      48      53      19      55       7      11       8      43
      43      11       8      44      43      11      44      47
      15      19      20      51      51      19      20      55
      51      55      20      56       8      12       9      44
      44      12       9      45      44      12      45      48
      19      22      20      55      55      22      20      56
      55      22      56      58      26      27      29      62
      62      27      29      63      62      63      29      65
      21      23      18      57      57      23      18      54
      57      23      54      59      25      29      30      61
      61      29      30      65      61      65      30      66
      26      29      25      62      62      29      25      61
      62      29      61      65      29      32      33      65
      65      32      33      68      65      68      33      69
      27      32      29      63      63      32      29      65
      63      32      65      68      23      27      26      59
      59      27      26      62      59      27      62      63
      18      26      16      54      54      26      16      52
      54      26      52      62      24      30      28      60
      60      30      28      66      60      66      28      64
      25      30      24      61      61      30      24      60
      61      30      60      66      33      34      36      69
      69      34      36      70      69      70      36      72
      32      34      33      68      68      34      33      69
      68      34      69      70      30      33      31      66
      66      33      31      69      66      69      31      67
      29      33      30      65      65      33      30      66
      65      33      66      69      16      25      17      52
      52      25      17      53      52      25      53      61
      24      28      22      60      60      28      22      58
      60      28      58      64      30      31      28      66
      66      31      28      64      66      31      64      67
      33      35      31      69      69      35      31      67
      69      35      67      71      33      36      35      69
      69      36      35      71      69      36      71      72
      17      24      19      53      53      24      19      55
      53      24      55      60      12      19      15      48
      48      19      15      51      48      19      51      55
      18      23      26      54      54      23      26      59
      54      59      26      62      16      26      25      52
      52      26      25      62      52      62      25      61
      17      25      24      53      53      25      24      61
      53      61      24      60      13      16      11      49
      49      16      11      47      49      16      47      52
      19      24      22      55      55      24      22      60
      55      60      22      58      11      17      12      47
      47      17      12      48      47      17      48      53
       8      11      12      44      44      11      12      47
      44      47      12      48       5       7       4      41
      41       7       4      40      41       7      40      43
       7      13      11      43      43      13      11      49
      43      49      11      47       5      10       7      41
      41      10       7      46      41      46       7      43
       9      12      15      45      45      12      15      48
      45      48      15      51       4       8       6      40
      40       8       6      42      40       8      42      44
      11      16      17      47      47      16      17      52
      47      52      17      53      10      13       7      46
      46      13       7      43      46      13      43      49
      14      18      13      50      50      18      13      49
      50      18      49      54      10      14      13      46
      46      14      13      50      46      50      13      49
       1       4       2      37      37       4       2      38
      37       4      38      40       1       3       4      37
      37       3       4      39      37      39       4      40
      40      43      44      76      76      43      44      79
      76      79      44      80      39      41      40      75
      75      41      40      77      75      77      40      76
      38      40      42      74      74      40      42      76
      74      76      42      78      42      44      45      78
      78      44      45      80      78      80      45      81
      49      54      52      85      85      54      52      90
      85      90      52      88      50      57      54      86
      86      57      54      93      86      93      54      90
      48      53      55      84      84      53      55      89
      84      89      55      91      43      47      44      79
      79      47      44      80      79      47      80      83
      51      55      56      87      87      55      56      91
      87      91      56      92      44      48      45      80
      80      48      45      81      80      48      81      84
      55      58      56      91      91      58      56      92
      91      58      92      94      62      63      65      98
      98      63      65      99      98      99      65     101
      57      59      54      93      93      59      54      90
      93      59      90      95      61      65      66      97
      97      65      66     101      97     101      66     102
      62      65      61      98      98      65      61      97
      98      65      97     101      65      68      69     101
     101      68      69     104     101     104      69     105
      63      68      65      99      99      68      65     101
      99      68     101     104      59      63      62      95
      95      63      62      98      95      63      98      99
      54      62      52      90      90      62      52      88
      90      62      88      98      60      66      64      96
      96      66      64     102      96     102      64     100
      61      66      60      97      97      66      60      96
      97      66      96     102      69      70      72     105
     105      70      72     106     105     106      72     108
      68      70      69     104     104      70      69     105
     104      70     105     106      66      69      67     102
     102      69      67     105     102     105      67     103
      65      69      66     101     101      69      66     102
     101      69     102     105      52      61      53      88
      88      61      53      89      88      61      89      97
      60      64      58      96      96      64      58      94
      96      64      94     100      66      67      64     102
     102      67      64     100     102      67     100     103
      69      71      67     105     105      71      67     103
     105      71     103     107      69      72      71     105
     105      72      71     107     105      72     107     108
      53      60      55      89      89      60      55      91
      89      60      91      96      48      55      51      84
      84      55      51      87      84      55      87      91
      54      59      62      90      90      59      62      95
      90      95      62      98      52      62      61      88
      88      62      61      98      88      98      61      97
      53      61      60      89      89      61      60      97
      89      97      60      96      49      52      47      85
      85      52      47      83      85      52      83      88
      55      60      58      91      91      60      58      96
      91      96      58      94      47      53      48      83
      83      53      48      84      83      53      84      89
      44      47      48      80      80      47      48      83
      80      83      48      84      41      43      40      77
      77      43      40      76      77      43      76      79
      43      49      47      79      79      49      47      85
      79      85      47      83      41      46      43      77
      77      46      43      82      77      82      43      79
      45      48      51      81      81      48      51      84
      81      84      51      87      40      44      42      76
      76      44      42      78      76      44      78      80
      47      52      53      83      83      52      53      88
      83      88      53      89      46      49      43      82
      82      49      43      79      82      49      79      85
      50      54      49      86      86      54      49      85
      86      54      85      90      46      50      49      82
      82      50      49      86      82      86      49      85
      37      40      38      73      73      40      38      74
      73      40      74      76      37      39      40      73
      73      39      40      75      73      75      40      76
      76      79      80     112     112      79      80     115
     112     115      80     116      75      77      76     111
     111      77      76     113     111     113      76     112
      74      76      78     110     110      76      78     112
     110     112      78     114      78      80      81     114
     114      80      81     116     114     116      81     117
      85      90      88     121     121      90      88     126
     121     126      88     124      86      93      90     122
     122      93      90     129     122     129      90     126
      84      89      91     120     120      89      91     125
     120     125      91     127      79      83      80     115
     115      83      80     116     115      83     116     119
      87      91      92     123     123      91      92     127
     123     127      92     128      80      84      81     116
     116      84      81     117     116      84     117     120
      91      94      92     127     127      94      92     128
     127      94     128     130      98      99     101     134
     134      99     101     135     134     135     101     137
      93      95      90     129     129      95      90     126
     129      95     126     131      97     101     102     133
     133     101     102     137     133     137     102     138
      98     101      97     134     134     101      97     133
     134     101     133     137     101     104     105     137
     137     104     105     140     137     140     105     141
      99     104     101     135     135     104     101     137
     135     104     137     140      95      99      98     131
     131      99      98     134     131      99     134     135
