 -2.1444E-08  2.3534E-09 -1.3553E-17 -2.3029E-08  7.6796E-10 -1.5854E-12
 -2.3029E-08  2.5680E-08  2.3327E-11 -2.4331E-08 -0.0000E+00 -0.0000E+00
  7.3945E-09  3.1726E-08  3.1726E-11  7.3945E-09 -9.2519E-15 -2.2588E-18
 -0.0000E+00 -1.7421E-09 -0.0000E+00 -4.6259E-15 -1.7421E-09 -2.2588E-18
 -1.8504E-14  2.2551E-08  2.4293E-11  4.0955E-09  1.1587E-08  2.4293E-11
  3.1294E-09  1.0621E-08  2.3327E-11  3.1294E-09 -4.3971E-09  8.3084E-12
  2.8715E-08  2.2421E-08  9.2529E-13  3.3071E-08  2.6778E-08  5.2818E-12
  3.3071E-08  2.2274E-08  7.7843E-13 -1.7624E-08  3.3520E-08  6.3628E-11
 -5.0826E-08  3.1799E-10  3.0425E-11 -5.0826E-08 -2.4826E-08  5.2818E-12
 -1.4970E-08 -1.9219E-08 -9.0956E-13 -2.3863E-08 -2.8112E-08 -9.8024E-12
 -2.3863E-08 -1.4577E-08  3.7325E-12  2.7226E-08  5.1023E-08 -1.5854E-12
  2.7226E-08  7.5935E-08  2.3327E-11 -4.2129E-08  6.5799E-09 -4.6028E-11
 -1.5321E-08  1.3043E-08  1.6383E-11 -2.7972E-08  3.9263E-10  3.7326E-12
 -2.7972E-08 -1.3552E-08 -1.0212E-11  1.4778E-09  8.9696E-09  2.3327E-11
  1.4778E-09 -6.0487E-09  8.3084E-12 -7.7401E-09 -1.5267E-08 -9.0953E-13
 -3.3638E-08 -5.2731E-09  3.7326E-12 -3.3638E-08 -1.9217E-08 -1.0212E-11
  1.7169E-08  3.1590E-08  4.0596E-11 -1.2726E-08 -3.7525E-08 -4.2539E-11
  7.6684E-10 -2.4033E-08 -2.9047E-11  7.6685E-10  2.1112E-08  1.6099E-11
 -1.8128E-08  3.3017E-08  3.0425E-11 -1.8128E-08  7.8732E-09  5.2818E-12
 -1.6251E-08  9.7496E-09  7.1581E-12 -3.3194E-08 -2.1044E-10 -7.4596E-12
 -9.6365E-09  2.3347E-08  1.6098E-11 -9.6365E-09 -1.3901E-08 -2.1151E-11
 -3.3194E-08 -3.7525E-08 -4.2539E-11 -3.3194E-08 -2.4456E-09 -7.4594E-12
 -9.6366E-09  2.1112E-08  1.6098E-11 -1.3845E-08  1.5396E-08  1.6098E-11
 -9.0534E-09  2.0188E-08  2.0890E-11 -9.0533E-09  2.0208E-09  2.7229E-12
 -1.3845E-08 -3.8645E-08 -2.9047E-11 -1.3845E-08  6.4999E-09  1.6098E-11
 -9.0534E-09  1.1292E-08  2.0890E-11 -1.2726E-08  2.7978E-08  7.1581E-12
