       2      10     216     750     312      33      15
       1       1       6      12      12       6
       2       9     744     300      21       9
     145     150       1
       1     144       2
     151     294       2
     295     300       2
     301     444       2
     445     450       2
     451     594       2
     595     600       2
     601     744       2
     745     750       2
       1       3      37 1 0 1
      37       3      39 0 1 1
       1       4       3 0 1 1
       1       2       4 1 1 0
       1      37       2 1 0 1
      37      38       2 1 1 0
       4       2      38 1 1 0
       4      38      40 0 1 1
       3       4      39 1 0 1
      39       4      40 0 1 1
      37      39      40 1 1 0
      37      40      38 0 1 1
       2      38       6 1 0 1
       6      42       9 0 0 1
      38      42       6 0 0 0
       9      45      15 0 0 1
      42      45       9 0 0 0
      45      51      15 0 0 0
      15      51      20 0 0 1
      51      56      20 0 1 0
      37      73      38 1 0 1
      73      74      38 0 0 0
      38      74      42 0 0 0
      42      78      45 0 0 0
      74      78      42 0 0 0
      45      81      51 0 0 0
      78      81      45 0 0 0
      81      87      51 0 0 0
      51      87      56 0 0 0
      87      92      56 0 1 0
      73     109      74 1 0 0
     109     110      74 0 0 0
      74     110      78 0 0 0
      78     114      81 0 0 0
     110     114      78 0 0 0
      81     117      87 0 0 0
     114     117      81 0 0 0
     117     123      87 0 0 0
      87     123      92 0 0 0
     123     128      92 0 1 0
     109     145     110 1 0 0
     145     146     110 0 0 0
     110     146     114 0 0 0
     114     150     117 0 0 0
     146     150     114 0 0 0
     117     153     123 0 0 0
     150     153     117 0 0 0
     153     159     123 0 0 0
     123     159     128 0 0 0
     159     164     128 0 1 0
     145     181     146 1 0 0
     181     182     146 1 0 0
     146     182     150 0 0 0
     150     186     153 0 0 0
     182     186     150 1 0 0
     153     189     159 0 0 0
     186     189     153 1 0 0
     189     195     159 1 0 0
     159     195     164 0 0 0
     195     200     164 1 1 0
       2       4      38 1 0 1
      38       4      40 0 1 1
       2       6       4 1 0 1
       3       4       5 1 0 1
       4       6       8 0 0 0
       5       4       7 0 0 0
       4       8       7 0 0 0
       5       7      10 0 0 1
       6       9       8 1 0 0
      10       7      13 0 0 0
       7      11      13 0 0 0
       7       8      11 0 0 0
       8      12      11 0 0 0
       8       9      12 0 0 0
       9      15      12 1 0 0
      10      13      14 0 0 1
      11      17      16 0 0 0
      11      12      17 0 0 0
      13      11      16 0 0 0
      12      15      19 0 0 0
      12      19      17 0 0 0
      14      13      18 0 0 0
      13      16      18 0 0 0
      14      18      21 0 0 1
      15      20      19 1 0 0
      16      25      26 0 0 0
      16      17      25 0 0 0
      18      16      26 0 0 0
      17      24      25 0 0 0
      17      19      24 0 0 0
      18      26      23 0 0 0
      21      18      23 0 0 1
      19      22      24 0 0 0
      19      20      22 0 1 0
      24      22      28 0 1 0
      23      26      27 0 0 1
      25      24      30 0 0 0
      24      28      30 0 0 0
      26      25      29 0 0 0
      25      30      29 0 0 0
      26      29      27 0 0 0
      27      29      32 0 0 1
      30      28      31 0 1 0
      29      30      33 0 0 0
      29      33      32 0 0 0
      30      31      33 0 0 0
      33      31      35 0 1 0
      32      33      34 0 0 1
      33      35      36 0 1 0
      33      36      34 0 1 0
       3      39       4 1 0 1
      39      40       4 1 1 0
       3       5      39 1 0 1
       5      10      41 1 0 0
      39       5      41 0 0 0
      10      14      46 1 0 0
      41      10      46 0 0 0
      46      14      50 0 0 0
      14      21      50 1 0 0
      50      21      57 0 1 0
      37      39      73 1 0 1
      73      39      75 0 0 0
      39      41      75 0 0 0
      41      46      77 0 0 0
      75      41      77 0 0 0
      46      50      82 0 0 0
      77      46      82 0 0 0
      82      50      86 0 0 0
      50      57      86 0 0 0
      86      57      93 0 1 0
      73      75     109 0 0 1
     109      75     111 0 0 0
      75      77     111 0 0 0
      77      82     113 0 0 0
     111      77     113 0 0 0
      82      86     118 0 0 0
     113      82     118 0 0 0
     118      86     122 0 0 0
      86      93     122 0 0 0
     122      93     129 0 1 0
     109     111     145 0 0 1
     145     111     147 0 0 0
     111     113     147 0 0 0
     113     118     149 0 0 0
     147     113     149 0 0 0
     118     122     154 0 0 0
     149     118     154 0 0 0
     154     122     158 0 0 0
     122     129     158 0 0 0
     158     129     165 0 1 0
     145     147     181 0 0 1
     181     147     183 0 0 1
     147     149     183 0 0 0
     149     154     185 0 0 0
     183     149     185 0 0 1
     154     158     190 0 0 0
     185     154     190 0 0 1
     190     158     194 0 0 1
     158     165     194 0 0 0
     194     165     201 0 1 1
      22      20      56 1 1 0
      28      22      58 1 0 0
      22      56      58 0 0 0
      31      28      64 1 0 0
      28      58      64 0 0 0
      35      31      67 1 0 0
      31      64      67 0 0 0
      36      35      71 1 0 0
      35      67      71 0 0 0
      36      71      72 0 0 1
      58      56      92 0 1 0
      64      58      94 0 0 0
      58      92      94 0 0 0
      67      64     100 0 0 0
      64      94     100 0 0 0
      71      67     103 0 0 0
      67     100     103 0 0 0
      72      71     107 0 0 0
      71     103     107 0 0 0
      72     107     108 0 0 1
      94      92     128 0 1 0
     100      94     130 0 0 0
      94     128     130 0 0 0
